Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,,,
348,Tennessee Martin,OVC,0-0,-21.71,89.6,111.3,75.3,,,,,,,
326,Tennessee St.,OVC,0-0,-15.44,90.3,105.7,74.2,,,,,,,
296,Tennessee Tech,OVC,0-0,-11.14,94.5,105.6,73,,,,,,,
14,Texas,B12,0-0,21.15,111.2,90.1,70.5,,,,,,,
78,Texas A&M,SEC,0-0,10.94,104.7,93.8,69.6,,,,,,,
344,Texas A&M Corpus Chris,Slnd,0-0,-20.14,88.1,108.3,72.9,,,,,,,
241,Texas Southern,SWAC,0-0,-6.11,96.4,102.5,75.3,,,,,,,
152,Texas St.,SB,0-0,1,99.3,98.3,68.2,,,,,,,
12,Texas Tech,B12,0-0,21.7,109.7,88,68.7,,,,,,,
229,The Citadel,SC,0-0,-5.23,99.6,104.8,77.7,,,,,,,
116,Toledo,MAC,0-0,5.49,107.5,102,72.4,,,,,,,
247,Towson,CAA,0-0,-6.53,97.9,104.5,70.4,,,,,,,
232,Troy,SB,0-0,-5.64,95.2,100.8,73.1,,,,,,,
123,Tulane,Amer,0-0,5.15,99.6,94.5,71.9,,,,,,,
133,Tulsa,Amer,0-0,4.08,100.7,96.6,70.7,,,,,,,
71,UAB,CUSA,0-0,12.31,105.5,93.2,72.1,,,,,,,
213,UC Davis,BW,0-0,-4,98,102,72.6,,,,,,,
112,UC Irvine,BW,0-0,5.78,102.1,96.3,71.4,,,,,,,
153,UC Riverside,BW,0-0,0.84,99,98.2,71.2,,,,,,,
291,UC San Diego,BW,0-0,-10.48,97,107.5,73.4,,,,,,,
99,UC Santa Barbara,BW,0-0,8.27,105.2,96.9,70.1,,,,,,,
61,UCF,Amer,0-0,13.09,106.1,93,71.1,,,,,,,
7,UCLA,P12,0-0,23.36,113,89.6,68.8,,,,,,,
277,UMass Lowell,AE,0-0,-8.94,95.8,104.7,73.4,,,,,,,
220,UMBC,AE,0-0,-4.74,96.2,100.9,73.3,,,,,,,
248,UMKC,Sum,0-0,-6.57,94.5,101.1,68.6,,,,,,,
271,UNC Asheville,BSth,0-0,-8.51,97.3,105.8,71.9,,,,,,,
163,UNC Greensboro,SC,0-0,-0.01,98.9,98.9,69.2,,,,,,,
278,UNC Wilmington,CAA,0-0,-9.17,98.7,107.9,72.8,,,,,,,
130,UNLV,MWC,0-0,4.48,102.7,98.2,71.7,,,,,,,
20,USC,P12,0-0,19.94,109.5,89.5,71.8,,,,,,,
336,USC Upstate,BSth,0-0,-17.18,89.7,106.9,72.3,,,,,,,
262,UT Arlington,SB,0-0,-7.67,93.5,101.2,72.8,,,,,,,
304,UT Rio Grande Valley,WAC,0-0,-12.04,91.9,103.9,72,,,,,,,
93,Utah,P12,0-0,8.77,104.6,95.9,72.7,,,,,,,
95,Utah St.,MWC,0-0,8.6,103,94.4,72,,,,,,,
222,Utah Valley,WAC,0-0,-4.82,97.3,102.1,73.8,,,,,,,
154,UTEP,CUSA,0-0,0.83,98.4,97.6,72.4,,,,,,,
237,UTSA,CUSA,0-0,-5.85,97.5,103.3,75,,,,,,,
236,Valparaiso,MVC,0-0,-5.84,96.6,102.5,71.5,,,,,,,
79,Vanderbilt,SEC,0-0,10.73,106.8,96.1,72.7,,,,,,,
98,VCU,A10,0-0,8.34,102.1,93.8,73.6,,,,,,,
105,Vermont,AE,0-0,6.56,103,96.4,70.4,,,,,,,
9,Villanova,BE,0-0,22.15,114,91.8,69.4,,,,,,,
45,Virginia,ACC,0-0,15.72,106,90.3,65.3,,,,,,,
39,Virginia Tech,ACC,0-0,16.5,109.3,92.8,70.3,,,,,,,
238,VMI,SC,0-0,-5.89,100.3,106.2,73.5,,,,,,,
192,Wagner,NEC,0-0,-2.42,100.7,103.1,70.1,,,,,,,
104,Wake Forest,ACC,0-0,6.62,103.4,96.8,71.5,,,,,,,
102,Washington,P12,0-0,6.79,101.7,94.9,73.9,,,,,,,
63,Washington St.,P12,0-0,13.06,106,93,72,,,,,,,
114,Weber St.,BSky,0-0,5.61,104.4,98.8,74.3,,,,,,,
46,West Virginia,B12,0-0,15.66,108.5,92.8,73.2,,,,,,,
311,Western Carolina,SC,0-0,-12.96,93.2,106.2,73.2,,,,,,,
242,Western Illinois,Sum,0-0,-6.12,98.3,104.4,74,,,,,,,
90,Western Kentucky,CUSA,0-0,8.99,104.4,95.4,71.7,,,,,,,
312,Western Michigan,MAC,0-0,-13.25,94.4,107.6,70.7,,,,,,,
62,Wichita St.,Amer,0-0,13.08,107.6,94.5,71.5,,,,,,,
269,William & Mary,CAA,0-0,-8.34,96.7,105,72,,,,,,,
155,Winthrop,BSth,0-0,0.66,100.2,99.5,74.5,,,,,,,
